time,left,right,total
1689369559.6,0, 0, 0
1689369559.7,0, 0, 0
1689369559.8,0, 0, 0
1689369559.9,0, 0, 0
1689369560.0,0, 0, 0
1689369560.1,0, 0, 0
1689369560.2,0, 0, 0
1689369560.3,0, 0, 0
1689369560.4,0, 0, 0
1689369560.5,1, 0, 1
1689369560.6,1, 0, 1
1689369560.7,1, 0, 1
1689369560.8,1, 0, 1
1689369560.9,1, 0, 1
1689369561.0,1, 0, 1
1689369561.1,1, 0, 1
1689369561.2,1, 0, 1
1689369561.3,1, 0, 1
1689369561.4,1, 0, 1
1689369561.5,1, 0, 1
1689369561.6,1, 0, 1
1689369561.7,1, 0, 1
1689369561.8,1, 0, 1
1689369561.9,1, 0, 1
1689369562.0,1, 0, 1
1689369562.1,1, 0, 1
1689369562.2,1, 0, 1
1689369562.3,1, 0, 1
1689369562.4,1, 0, 1
1689369562.5,1, 0, 1
1689369562.6,1, 0, 1
1689369562.7,1, 0, 1
1689369562.8,1, 0, 1
1689369562.9,1, 0, 1
1689369563.0,1, 0, 1
1689369563.1,1, 0, 1
1689369563.2,1, 0, 1
1689369563.3,1, 0, 1
1689369563.4,1, 0, 1
1689369563.5,1, 0, 1
1689369563.6,1, 0, 1
1689369563.7,1, 0, 1
1689369563.8,1, 0, 1
1689369563.9,1, 0, 1
1689369564.0,0, 0, 0
1689369564.1,0, 0, 0
1689369564.2,0, 0, 0
1689369564.3,0, 0, 0
1689369564.4,0, 0, 0
1689369564.5,0, 0, 0
1689369564.6,0, 0, 0
1689369564.7,0, 0, 0
1689369564.8,0, 0, 0
1689369564.9,0, 0, 0
1689369565.0,0, 0, 0
1689369565.1,0, 0, 0
1689369565.2,0, 0, 0
1689369565.3,0, 0, 0
1689369565.4,0, 0, 0
1689369565.5,0, 0, 0
1689369565.6,0, 0, 0
1689369565.7,0, 0, 0
1689369565.8,0, 0, 0
1689369565.9,0, 0, 0
1689369566.0,0, 0, 0
1689369566.1,0, 0, 0
1689369566.2,0, 0, 0
1689369566.3,0, 0, 0
1689369566.4,0, 0, 0
1689369566.5,0, 0, 0
1689369566.6,0, 0, 0
